LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
12.00,192,31.56,31.56,32.31,33.59,33.73,33.93,33.93,33.93,37.20,38.30,40.29,41.19,44.88,45.52,45.20,46.99,51.90,52.76,52.76,52.76,71.46,52.16,47.17,53.22,57.10,57.83,66.82,50.77,54.50,64.89
13.00,208,33.57,33.57,34.37,35.74,35.88,36.08,36.08,36.08,39.43,40.60,42.61,43.53,47.32,47.97,47.93,49.80,54.85,55.75,55.75,55.75,76.68,55.11,50.52,56.56,60.45,61.18,71.52,54.13,57.80,69.80
14.00,224,35.59,35.59,36.44,37.89,38.03,38.23,38.23,38.23,41.67,42.90,44.92,45.86,49.75,50.42,50.67,52.62,57.80,58.73,58.73,58.73,81.89,58.06,53.86,59.90,63.79,64.52,76.23,57.66,61.10,74.71
15.00,240,37.61,37.61,38.51,40.04,40.18,40.38,40.38,40.38,43.90,45.20,47.24,48.19,52.18,52.87,53.40,55.44,60.75,61.72,61.72,61.72,87.10,61.01,57.20,63.25,67.13,67.86,80.94,61.02,64.41,79.61
16.00,256,39.62,39.62,40.57,42.19,42.33,42.53,42.53,42.53,46.14,47.50,49.56,50.53,54.62,55.32,56.14,58.26,63.70,64.71,64.71,64.71,92.32,63.96,60.54,66.59,70.47,71.20,85.64,64.55,67.71,84.52
17.00,272,41.64,41.64,42.64,44.34,44.48,44.68,44.68,44.68,48.37,49.80,51.88,52.86,57.05,57.77,58.87,61.08,66.65,67.69,67.69,67.69,97.53,66.91,63.89,69.93,73.82,74.55,90.35,67.91,71.02,89.43
18.00,288,43.66,43.66,44.71,46.49,46.63,46.83,46.83,46.83,50.60,52.11,54.19,55.19,59.49,60.22,61.61,63.90,69.61,70.68,70.68,70.68,102.74,69.85,67.23,73.27,77.16,77.89,95.05,71.44,74.32,94.33
19.00,304,45.67,45.67,46.77,48.64,48.78,48.98,48.98,48.98,52.84,54.41,56.51,57.53,61.92,62.67,64.34,66.71,72.56,73.66,73.66,73.66,107.95,72.80,70.57,76.62,80.50,81.23,99.76,74.81,77.62,99.24
20.00,320,47.69,47.69,48.84,50.79,50.93,51.13,51.13,51.13,55.07,56.71,58.83,59.86,64.35,65.12,67.08,69.53,75.51,76.65,76.65,76.65,113.17,75.75,73.91,79.96,83.85,84.57,104.47,78.33,80.93,104.14
21.00,336,49.70,49.70,50.91,52.94,53.08,53.28,53.28,53.28,57.30,59.01,61.14,62.20,66.79,67.57,69.81,72.35,78.46,79.63,79.63,79.63,118.38,78.70,77.26,83.30,87.19,87.92,108.87,81.70,84.23,109.05
