LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
4.40,70.4,16.75,16.75,17.18,17.82,17.94,18.10,18.10,18.10,20.57,21.53,22.74,23.41,26.08,26.59,25.12,26.12,29.22,29.81,29.81,29.81,37.91,25.51,20.98,27.03,30.92,31.64,35.11,23.34,19.87,31.19
5.00,80,18.19,18.19,18.64,19.34,19.48,19.68,19.68,19.68,22.45,23.23,24.79,25.67,28.76,29.29,27.19,28.48,32.67,33.34,33.34,33.34,41.80,28.34,22.89,28.93,32.82,33.55,36.13,25.36,24.34,34.59
6.00,96,20.27,20.27,20.77,21.57,21.70,21.90,21.90,21.90,24.76,25.59,27.23,28.11,31.30,31.85,30.05,31.42,35.73,36.43,36.43,36.43,48.29,31.11,26.05,32.10,35.98,36.71,40.84,28.45,29.41,40.25
7.00,112,22.34,22.34,22.89,23.79,23.93,24.13,24.13,24.13,27.07,27.95,29.67,30.56,33.85,34.42,32.91,34.37,38.79,39.53,39.53,39.53,54.77,33.88,29.22,35.26,39.15,39.88,45.40,31.70,34.48,45.90
8.00,128,24.42,24.42,25.02,26.02,26.15,26.35,26.35,26.35,29.38,30.31,32.12,33.00,36.39,36.98,35.77,37.31,41.85,42.62,42.62,42.62,61.26,36.64,32.38,38.43,42.31,43.04,49.95,34.80,39.54,51.56
9.00,144,26.49,26.49,27.14,28.25,28.38,28.58,28.58,28.58,31.69,32.67,34.56,35.44,38.93,39.54,38.63,40.25,44.91,45.71,45.71,45.71,67.74,39.41,35.55,41.59,45.48,46.21,54.20,38.05,44.61,57.22
10.00,160,28.57,28.57,29.27,30.47,30.61,30.81,30.81,30.81,34.00,35.03,37.00,37.89,41.48,42.10,41.49,43.20,47.97,48.81,48.81,48.81,74.23,42.17,38.71,44.76,48.64,49.37,55.90,41.14,49.68,62.88
11.00,176,30.38,30.38,31.08,32.28,32.42,32.62,32.62,32.62,35.81,36.84,38.81,39.70,43.29,43.90,43.30,45.01,49.78,50.62,50.62,50.62,80.71,44.94,41.88,47.92,51.81,52.54,60.60,44.23,51.19,68.54
12.00,192,32.47,32.47,33.22,34.51,34.64,34.84,34.84,34.84,38.12,39.22,41.20,42.11,45.80,46.43,46.11,47.90,52.81,53.68,53.68,53.68,87.20,50.15,45.04,51.09,54.97,55.70,66.82,47.48,54.50,74.20
13.00,208,34.56,34.56,35.36,36.73,36.87,37.07,37.07,37.07,40.42,41.59,43.60,44.52,48.31,48.96,48.93,50.80,55.84,56.74,56.74,56.74,93.68,52.92,48.21,54.25,58.14,58.87,71.52,50.58,57.80,79.85
14.00,224,36.66,36.66,37.51,38.96,39.09,39.29,39.29,39.29,42.73,43.97,45.99,46.93,50.82,51.49,51.74,53.69,58.87,59.80,59.80,59.80,100.17,55.69,51.37,57.42,61.30,62.03,76.23,53.83,61.10,85.51
15.00,240,38.75,38.75,39.65,41.19,41.32,41.52,41.52,41.52,45.04,46.35,48.38,49.34,53.33,54.01,54.55,56.58,61.89,62.86,62.86,62.86,106.65,58.45,54.54,60.58,64.47,65.20,80.94,56.92,64.41,91.17
16.00,256,40.84,40.84,41.79,43.41,43.55,43.75,43.75,43.75,47.35,48.72,50.78,51.75,55.84,56.54,57.36,59.48,64.92,65.92,65.92,65.92,113.14,61.22,57.70,63.75,67.63,68.36,85.64,60.17,67.71,96.83
17.00,272,42.93,42.93,43.94,45.64,45.77,45.97,45.97,45.97,49.66,51.10,53.17,54.16,58.35,59.07,60.17,62.37,67.95,68.99,68.99,68.99,119.62,63.98,60.87,66.91,70.80,71.53,90.35,63.26,71.02,102.49
18.00,288,45.03,45.03,46.08,47.87,48.00,48.20,48.20,48.20,51.97,53.48,55.56,56.57,60.86,61.59,62.98,65.27,70.98,72.05,72.05,72.05,126.11,66.75,64.03,70.08,73.96,74.69,95.05,66.51,74.32,108.15
19.00,304,47.12,47.12,48.22,50.09,50.23,50.43,50.43,50.43,54.28,55.85,57.96,58.98,63.37,64.12,65.79,68.16,74.01,75.11,75.11,75.11,132.59,69.51,67.19,73.24,77.13,77.86,99.76,69.61,77.62,113.81
20.00,320,49.21,49.21,50.36,52.32,52.45,52.65,52.65,52.65,56.59,58.23,60.35,61.39,65.88,66.65,68.60,71.06,77.03,78.17,78.17,78.17,139.08,72.28,70.36,76.41,80.29,81.02,104.47,72.86,80.93,119.46
21.00,336,51.30,51.30,52.51,54.54,54.68,54.88,54.88,54.88,58.90,60.61,62.74,63.80,68.39,69.17,71.41,73.95,80.06,81.23,81.23,81.23,145.56,75.05,73.52,79.57,83.46,84.18,108.87,75.95,84.23,125.12
22.00,352,53.11,53.11,54.32,56.35,56.49,56.69,56.69,56.69,60.71,62.42,64.55,65.60,70.20,70.98,73.22,75.76,81.87,83.04,83.04,83.04,152.05,77.81,76.69,82.74,86.62,87.35,113.28,79.04,85.74,130.78
23.00,368,55.21,55.21,56.46,58.58,58.71,58.91,58.91,58.91,62.99,64.78,66.95,68.01,72.71,73.51,76.01,78.65,84.90,86.10,86.10,86.10,158.53,82.24,79.85,85.90,89.79,90.51,117.68,82.29,89.05,136.44
24.00,384,57.30,57.30,58.60,60.81,60.94,61.14,61.14,61.14,65.26,67.14,69.34,70.42,75.22,76.04,78.81,81.55,87.93,89.16,89.16,89.16,165.02,85.01,83.02,89.07,92.95,93.68,122.09,85.39,92.35,142.10
25.00,400,74.47,74.47,75.82,78.11,78.24,78.44,78.44,78.44,82.62,84.57,86.81,87.91,92.81,93.64,96.68,99.52,106.03,107.30,107.30,107.30,186.58,102.85,101.26,107.31,111.19,111.92,141.57,103.72,110.73,162.83
